region,province,city_municipality,barangay,reg_code,prv_code,mun_code,bgy_code,geocode
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,ADIA,04,010,01,001,0401001001
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,BAGONG SIKAT,04,010,01,002,0401001002
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,BALANGON,04,010,01,004,0401001004
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,BILIBINWANG,04,010,01,005,0401001005
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,BANGIN,04,010,01,006,0401001006
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,BARIGON,04,010,01,007,0401001007
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,CORAL NA MUNTI,04,010,01,008,0401001008
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,GUITNA,04,010,01,009,0401001009
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,MABINI,04,010,01,010,0401001010
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,PAMIGA,04,010,01,012,0401001012
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,PANHULAN,04,010,01,013,0401001013
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,PANSIPIT,04,010,01,014,0401001014
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,POBLACION,04,010,01,015,0401001015
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,POOK,04,010,01,016,0401001016
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,SAN JACINTO,04,010,01,017,0401001017
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,SAN TEODORO,04,010,01,018,0401001018
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,SANTA CRUZ,04,010,01,019,0401001019
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,SANTO TOMAS,04,010,01,020,0401001020
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,SUBIC IBABA,04,010,01,021,0401001021
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,SUBIC ILAYA,04,010,01,022,0401001022
REGION IV-A (CALABARZON),BATANGAS,AGONCILLO,BANYAGA,04,010,01,023,0401001023
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,BALAGBAG,04,010,02,001,0401002001
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,CONCEPCION,04,010,02,002,0401002002
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,CONCORDIA,04,010,02,003,0401002003
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,DALIPIT EAST,04,010,02,004,0401002004
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,DALIPIT WEST,04,010,02,005,0401002005
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,DOMINADOR EAST,04,010,02,006,0401002006
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,DOMINADOR WEST,04,010,02,007,0401002007
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,MUNLAWIN SUR,04,010,02,008,0401002008
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,MUNLAWIN NORTE,04,010,02,009,0401002009
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,MUZON PRIMERO,04,010,02,011,0401002011
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,MUZON SEGUNDO,04,010,02,012,0401002012
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,PINAGKURUSAN,04,010,02,013,0401002013
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,PING-AS,04,010,02,014,0401002014
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,POBLACION EAST,04,010,02,015,0401002015
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,POBLACION WEST,04,010,02,016,0401002016
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,SAN JOSE,04,010,02,018,0401002018
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,SANTA CRUZ,04,010,02,019,0401002019
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,TADLAC,04,010,02,020,0401002020
REGION IV-A (CALABARZON),BATANGAS,ALITAGTAG,SAN JUAN,04,010,02,021,0401002021
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BACLARAN,04,010,03,001,0401003001
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 1 (POB.),04,010,03,003,0401003003
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 10 (POB.),04,010,03,004,0401003004
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 11 (POB.),04,010,03,005,0401003005
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 12 (POB.),04,010,03,006,0401003006
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 2 (POB.),04,010,03,007,0401003007
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 3 (POB.),04,010,03,008,0401003008
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 4 (POB.),04,010,03,009,0401003009
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 5 (POB.),04,010,03,010,0401003010
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 6 (POB.),04,010,03,011,0401003011
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 7 (POB.),04,010,03,012,0401003012
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 8 (POB.),04,010,03,013,0401003013
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,BARANGAY 9 (POB.),04,010,03,014,0401003014
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CALAN,04,010,03,016,0401003016
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CALOOCAN,04,010,03,017,0401003017
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CALZADA,04,010,03,018,0401003018
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CANDA,04,010,03,019,0401003019
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CARENAHAN,04,010,03,020,0401003020
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CAYBUNGA,04,010,03,021,0401003021
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,CAYPONCE,04,010,03,022,0401003022
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DALIG,04,010,03,023,0401003023
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DAO,04,010,03,024,0401003024
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DILAO,04,010,03,025,0401003025
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DUHATAN,04,010,03,026,0401003026
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DURUNGAO,04,010,03,027,0401003027
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,GIMALAS,04,010,03,028,0401003028
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,GUMAMELA,04,010,03,029,0401003029
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LAGNAS,04,010,03,030,0401003030
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LANATAN,04,010,03,031,0401003031
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LANGGANGAN,04,010,03,032,0401003032
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LUCBAN PUTOL,04,010,03,033,0401003033
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LUCBAN POOK,04,010,03,034,0401003034
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,MAGABE,04,010,03,035,0401003035
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,MALALAY,04,010,03,036,0401003036
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,MUNTING TUBIG,04,010,03,037,0401003037
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,NAVOTAS,04,010,03,038,0401003038
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,PATUGO,04,010,03,039,0401003039
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,PALIKPIKAN,04,010,03,040,0401003040
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,POOC,04,010,03,042,0401003042
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAMBAT,04,010,03,043,0401003043
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAMPAGA,04,010,03,044,0401003044
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAN JUAN,04,010,03,045,0401003045
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAN PIRO,04,010,03,046,0401003046
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SANTOL,04,010,03,048,0401003048
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SUKOL,04,010,03,049,0401003049
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,TACTAC,04,010,03,050,0401003050
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,TALUDTUD,04,010,03,051,0401003051
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,TANGGOY,04,010,03,052,0401003052
REGION IV-A (CALABARZON),BATANGAS,BALETE,ALANGILAN,04,010,04,001,0401004001
REGION IV-A (CALABARZON),BATANGAS,BALETE,CALAWIT,04,010,04,002,0401004002
REGION IV-A (CALABARZON),BATANGAS,BALETE,LOOC,04,010,04,003,0401004003
REGION IV-A (CALABARZON),BATANGAS,BALETE,MAGAPI,04,010,04,004,0401004004
REGION IV-A (CALABARZON),BATANGAS,BALETE,MAKINA,04,010,04,005,0401004005
REGION IV-A (CALABARZON),BATANGAS,BALETE,MALABANAN,04,010,04,006,0401004006
REGION IV-A (CALABARZON),BATANGAS,BALETE,PALIGAWAN,04,010,04,007,0401004007
REGION IV-A (CALABARZON),BATANGAS,BALETE,PALSARA,04,010,04,008,0401004008
REGION IV-A (CALABARZON),BATANGAS,BALETE,POBLACION,04,010,04,009,0401004009
REGION IV-A (CALABARZON),BATANGAS,BALETE,SALA,04,010,04,010,0401004010
REGION IV-A (CALABARZON),BATANGAS,BALETE,SAMPALOCAN,04,010,04,011,0401004011
REGION IV-A (CALABARZON),BATANGAS,BALETE,SOLIS,04,010,04,012,0401004012
REGION IV-A (CALABARZON),BATANGAS,BALETE,SAN SEBASTIAN,04,010,04,013,0401004013
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),ALANGILAN,04,010,05,001,0401005001
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BALAGTAS,04,010,05,003,0401005003
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BALETE,04,010,05,004,0401005004
